staging_id,raw_id,inmobiliaria_id,validation_score,priority_estimada,geocoding_status,precio,moneda,latitud,longitud,titulo,url_normalizada,warnings
81780,82270,3531,75,2,done,110000,ARS,-34.9779706,-67.698846,Local en,inmobiliariaangelinam.com.ar/ver.php?id=10&propiedad=local+en++ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81781,82271,3532,85,2,done,610000,USD,-32.9109708,-68.8483395,Venta Deposito en calle Maipu 235 – Ciudad Mendoza,inmobiliariamendocasa.com.ar/listings/1587,
81782,82272,3532,85,2,done,60000,USD,-32.9109717,-68.8484415,Venta Terreno calle Maipu – Ciudad Mendoza,inmobiliariamendocasa.com.ar/listings/venta-terreno-calle-maipu-ciudad-mendoza,
81814,82304,4418,95,1,done,68000,USD,-37.307809,-59.125776,Casas en Venta - Av. Balbín y Machado - Se vende con RENTA,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-av.-balbín-y-machado---se-vende-con-renta-44315-161.html,
81815,82305,4418,95,1,done,85000,USD,-37.328161,-59.141464,Casas en Venta - San Martín al 200,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-san-martín-al-200-50591-161.html,
81816,82306,4418,95,1,done,90000,USD,-37.313545,-59.098045,Casas en Venta - Muñiz al 200,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-muñiz-al-200-48930-161.html,
81817,82307,4418,95,1,done,95000,USD,-37.282931,-59.364125,Casas en Venta - Vulcano y Rivadavia,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-vulcano-y-rivadavia-46254-161.html,
81818,82308,4418,100,1,done,100000,USD,-37.331914,-59.14185,Casas en Venta - Alberdi al 400,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-alberdi-al-400-49211-161.html,
81819,82309,4418,95,1,done,110000,USD,-37.358799,-59.123569,Casas en Venta - Israel y Av. Don Bosco,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-israel-y-av.-don-bosco-45996-161.html,
81821,82311,4418,95,1,done,110000,USD,-37.334132,-59.133739,Casas en Venta - Fte. Independencia y Av. Avellaneda,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-fte.-independencia-y-av.-avellaneda-49483-161.html,
81822,82312,4418,85,2,done,110000,USD,-37.290944,-59.154507,Casas en Venta - Tucumán y Trabajadores Municipales,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-tucumán-y-trabajadores-municipales-45045-161.html,missing_city_or_province_but_coords_present
81823,82313,4418,95,1,done,110000,USD,-37.310234,-59.119481,Casas en Venta - Piñeiro al 1300,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-piñeiro-al-1300-51372-161.html,
81824,82314,4418,95,1,done,120000,USD,-37.338364,-59.145176,Casas en Venta - Payró al 100,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-payró-al-100-51713-161.html,
81825,82315,4418,100,1,done,125000,USD,-37.312939,-59.131894,Casas en Venta - Uriburu al 1300,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-uriburu-al-1300-51064-161.html,
81826,82316,4418,100,1,done,130000,USD,-37.324168,-59.146442,Casas en Venta - Alberdi al 1000,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-alberdi-al-1000-50502-161.html,
